domain,agent,classification,allowed,rule_source,matched_rule_directive,matched_rule_path,robots_url,robots_status,robots_error
7-eleven.com,GPTBot,Wildcard Rule (Allowed),True,wildcard,,,https://www.7-eleven.com/robots.txt,200,
7-eleven.com,ClaudeBot,Wildcard Rule (Allowed),True,wildcard,,,https://www.7-eleven.com/robots.txt,200,
7-eleven.com,Google-Extended,Wildcard Rule (Allowed),True,wildcard,,,https://www.7-eleven.com/robots.txt,200,
7-eleven.com,CCBot,Wildcard Rule (Allowed),True,wildcard,,,https://www.7-eleven.com/robots.txt,200,
7-eleven.com,Amazonbot,Wildcard Rule (Allowed),True,wildcard,,,https://www.7-eleven.com/robots.txt,200,
7-eleven.com,Applebot-Extended,Wildcard Rule (Allowed),True,wildcard,,,https://www.7-eleven.com/robots.txt,200,
7-eleven.com,Bytespider,Wildcard Rule (Allowed),True,wildcard,,,https://www.7-eleven.com/robots.txt,200,
7-eleven.com,FacebookBot,Wildcard Rule (Allowed),True,wildcard,,,https://www.7-eleven.com/robots.txt,200,
7-eleven.com,meta-externalagent,Wildcard Rule (Allowed),True,wildcard,,,https://www.7-eleven.com/robots.txt,200,
7-eleven.com,OAI-SearchBot,Wildcard Rule (Allowed),True,wildcard,,,https://www.7-eleven.com/robots.txt,200,
7-eleven.com,Claude-SearchBot,Wildcard Rule (Allowed),True,wildcard,,,https://www.7-eleven.com/robots.txt,200,
7-eleven.com,PerplexityBot,Wildcard Rule (Allowed),True,wildcard,,,https://www.7-eleven.com/robots.txt,200,
7-eleven.com,YouBot,Wildcard Rule (Allowed),True,wildcard,,,https://www.7-eleven.com/robots.txt,200,
7-eleven.com,ChatGPT-User,Wildcard Rule (Allowed),True,wildcard,,,https://www.7-eleven.com/robots.txt,200,
7-eleven.com,Claude-User,Wildcard Rule (Allowed),True,wildcard,,,https://www.7-eleven.com/robots.txt,200,
aholddelhaize.com,GPTBot,Wildcard Rule (Allowed),True,wildcard,allow,/,https://aholddelhaize.com/robots.txt,200,
aholddelhaize.com,ClaudeBot,Wildcard Rule (Allowed),True,wildcard,allow,/,https://aholddelhaize.com/robots.txt,200,
aholddelhaize.com,Google-Extended,Wildcard Rule (Allowed),True,wildcard,allow,/,https://aholddelhaize.com/robots.txt,200,
aholddelhaize.com,CCBot,Wildcard Rule (Allowed),True,wildcard,allow,/,https://aholddelhaize.com/robots.txt,200,
aholddelhaize.com,Amazonbot,Wildcard Rule (Allowed),True,wildcard,allow,/,https://aholddelhaize.com/robots.txt,200,
aholddelhaize.com,Applebot-Extended,Wildcard Rule (Allowed),True,wildcard,allow,/,https://aholddelhaize.com/robots.txt,200,
aholddelhaize.com,Bytespider,Wildcard Rule (Allowed),True,wildcard,allow,/,https://aholddelhaize.com/robots.txt,200,
aholddelhaize.com,FacebookBot,Wildcard Rule (Allowed),True,wildcard,allow,/,https://aholddelhaize.com/robots.txt,200,
aholddelhaize.com,meta-externalagent,Wildcard Rule (Allowed),True,wildcard,allow,/,https://aholddelhaize.com/robots.txt,200,
aholddelhaize.com,OAI-SearchBot,Wildcard Rule (Allowed),True,wildcard,allow,/,https://aholddelhaize.com/robots.txt,200,
aholddelhaize.com,Claude-SearchBot,Wildcard Rule (Allowed),True,wildcard,allow,/,https://aholddelhaize.com/robots.txt,200,
aholddelhaize.com,PerplexityBot,Wildcard Rule (Allowed),True,wildcard,allow,/,https://aholddelhaize.com/robots.txt,200,
aholddelhaize.com,YouBot,Wildcard Rule (Allowed),True,wildcard,allow,/,https://aholddelhaize.com/robots.txt,200,
aholddelhaize.com,ChatGPT-User,Wildcard Rule (Allowed),True,wildcard,allow,/,https://aholddelhaize.com/robots.txt,200,
aholddelhaize.com,Claude-User,Wildcard Rule (Allowed),True,wildcard,allow,/,https://aholddelhaize.com/robots.txt,200,
albertsons.com,GPTBot,No Matching Rules (Implicitly Allowed),True,none,,,https://www.albertsons.com/robots.txt,403,
albertsons.com,ClaudeBot,No Matching Rules (Implicitly Allowed),True,none,,,https://www.albertsons.com/robots.txt,403,
albertsons.com,Google-Extended,No Matching Rules (Implicitly Allowed),True,none,,,https://www.albertsons.com/robots.txt,403,
albertsons.com,CCBot,No Matching Rules (Implicitly Allowed),True,none,,,https://www.albertsons.com/robots.txt,403,
albertsons.com,Amazonbot,No Matching Rules (Implicitly Allowed),True,none,,,https://www.albertsons.com/robots.txt,403,
albertsons.com,Applebot-Extended,No Matching Rules (Implicitly Allowed),True,none,,,https://www.albertsons.com/robots.txt,403,
albertsons.com,Bytespider,No Matching Rules (Implicitly Allowed),True,none,,,https://www.albertsons.com/robots.txt,403,
albertsons.com,FacebookBot,No Matching Rules (Implicitly Allowed),True,none,,,https://www.albertsons.com/robots.txt,403,
albertsons.com,meta-externalagent,No Matching Rules (Implicitly Allowed),True,none,,,https://www.albertsons.com/robots.txt,403,
albertsons.com,OAI-SearchBot,No Matching Rules (Implicitly Allowed),True,none,,,https://www.albertsons.com/robots.txt,403,
albertsons.com,Claude-SearchBot,No Matching Rules (Implicitly Allowed),True,none,,,https://www.albertsons.com/robots.txt,403,
albertsons.com,PerplexityBot,No Matching Rules (Implicitly Allowed),True,none,,,https://www.albertsons.com/robots.txt,403,
albertsons.com,YouBot,No Matching Rules (Implicitly Allowed),True,none,,,https://www.albertsons.com/robots.txt,403,
albertsons.com,ChatGPT-User,No Matching Rules (Implicitly Allowed),True,none,,,https://www.albertsons.com/robots.txt,403,
albertsons.com,Claude-User,No Matching Rules (Implicitly Allowed),True,none,,,https://www.albertsons.com/robots.txt,403,
amazon.com,GPTBot,Explicitly Blocked,False,explicit,disallow,/,https://www.amazon.com/robots.txt,200,
amazon.com,ClaudeBot,Explicitly Blocked,False,explicit,disallow,/,https://www.amazon.com/robots.txt,200,
amazon.com,Google-Extended,Explicitly Blocked,False,explicit,disallow,/,https://www.amazon.com/robots.txt,200,
amazon.com,CCBot,Explicitly Blocked,False,explicit,disallow,/,https://www.amazon.com/robots.txt,200,
amazon.com,Amazonbot,Wildcard Rule (Allowed),True,wildcard,,,https://www.amazon.com/robots.txt,200,
amazon.com,Applebot-Extended,Wildcard Rule (Allowed),True,wildcard,,,https://www.amazon.com/robots.txt,200,
amazon.com,Bytespider,Explicitly Blocked,False,explicit,disallow,/,https://www.amazon.com/robots.txt,200,
amazon.com,FacebookBot,Wildcard Rule (Allowed),True,wildcard,,,https://www.amazon.com/robots.txt,200,
amazon.com,meta-externalagent,Explicitly Blocked,False,explicit,disallow,/,https://www.amazon.com/robots.txt,200,
amazon.com,OAI-SearchBot,Explicitly Blocked,False,explicit,disallow,/,https://www.amazon.com/robots.txt,200,
amazon.com,Claude-SearchBot,Explicitly Blocked,False,explicit,disallow,/,https://www.amazon.com/robots.txt,200,
amazon.com,PerplexityBot,Explicitly Blocked,False,explicit,disallow,/,https://www.amazon.com/robots.txt,200,
