domain,agent,classification,allowed,rule_source,matched_rule_directive,matched_rule_path,robots_url,robots_status,robots_error,robots_parsed,robots_looks_html
7-eleven.com,*,Explicitly Allowed,True,explicit,,,https://www.7-eleven.com/robots.txt,200,,True,False
7-eleven.com,DEFAULT/OTHER,Wildcard Rule (Allowed),True,wildcard,,,https://www.7-eleven.com/robots.txt,200,,True,False
aholddelhaize.com,*,Explicitly Allowed,True,explicit,allow,/,https://aholddelhaize.com/robots.txt,200,,True,False
aholddelhaize.com,DEFAULT/OTHER,Wildcard Rule (Allowed),True,wildcard,allow,/,https://aholddelhaize.com/robots.txt,200,,True,False
albertsons.com,*,Explicitly Allowed,True,explicit,allow,/,https://www.albertsons.com/robots.txt,200,,True,False
albertsons.com,DEFAULT/OTHER,Wildcard Rule (Allowed),True,wildcard,allow,/,https://www.albertsons.com/robots.txt,200,,True,False
amazon.com,*,Explicitly Allowed,True,explicit,,,https://www.amazon.com/robots.txt,200,,True,False
amazon.com,AI2Bot,Explicitly Blocked,False,explicit,disallow,/,https://www.amazon.com/robots.txt,200,,True,False
amazon.com,Ai2Bot-Dolma,Explicitly Blocked,False,explicit,disallow,/,https://www.amazon.com/robots.txt,200,,True,False
amazon.com,Brightbot,Explicitly Blocked,False,explicit,disallow,/,https://www.amazon.com/robots.txt,200,,True,False
amazon.com,Bytespider,Explicitly Blocked,False,explicit,disallow,/,https://www.amazon.com/robots.txt,200,,True,False
amazon.com,CCBot,Explicitly Blocked,False,explicit,disallow,/,https://www.amazon.com/robots.txt,200,,True,False
amazon.com,ChatGPT-User,Explicitly Blocked,False,explicit,disallow,/,https://www.amazon.com/robots.txt,200,,True,False
amazon.com,Claude-SearchBot,Explicitly Blocked,False,explicit,disallow,/,https://www.amazon.com/robots.txt,200,,True,False
amazon.com,Claude-User,Explicitly Blocked,False,explicit,disallow,/,https://www.amazon.com/robots.txt,200,,True,False
amazon.com,ClaudeBot,Explicitly Blocked,False,explicit,disallow,/,https://www.amazon.com/robots.txt,200,,True,False
amazon.com,Copilot,Explicitly Blocked,False,explicit,disallow,/,https://www.amazon.com/robots.txt,200,,True,False
amazon.com,CopilotNative,Explicitly Blocked,False,explicit,disallow,/,https://www.amazon.com/robots.txt,200,,True,False
amazon.com,CopilotSapphire,Explicitly Blocked,False,explicit,disallow,/,https://www.amazon.com/robots.txt,200,,True,False
amazon.com,Devin,Explicitly Blocked,False,explicit,disallow,/,https://www.amazon.com/robots.txt,200,,True,False
amazon.com,Diffbot,Explicitly Blocked,False,explicit,disallow,/,https://www.amazon.com/robots.txt,200,,True,False
amazon.com,DuckAssistBot,Explicitly Blocked,False,explicit,disallow,/,https://www.amazon.com/robots.txt,200,,True,False
amazon.com,EtaoSpider,Explicitly Blocked,False,explicit,disallow,/,https://www.amazon.com/robots.txt,200,,True,False
amazon.com,FriendlyCrawler,Explicitly Blocked,False,explicit,disallow,/,https://www.amazon.com/robots.txt,200,,True,False
amazon.com,GPTBot,Explicitly Blocked,False,explicit,disallow,/,https://www.amazon.com/robots.txt,200,,True,False
amazon.com,Gemini-Deep-Research,Explicitly Blocked,False,explicit,disallow,/,https://www.amazon.com/robots.txt,200,,True,False
